# Jmax  =         2048
# Nmax  =          100
# N1max =           50
# L     =    0.40000000E+001
# sig   =    0.10000000E+000
# k0    =    0.20000000E+002
# x0    =   -0.50000000E+000
# dt    =    0.10000000E-004
#
# x              r(j)               real              aimag
  -0.29062500E+001   0.74440507E-125  -0.15103978E-064  -0.27283370E-062
  -0.29023438E+001   0.19040982E-124   0.31647148E-063  -0.43521062E-062
  -0.28984375E+001   0.48630271E-124   0.10470365E-062  -0.68944895E-062
  -0.28945312E+001   0.12401133E-123   0.25261770E-062  -0.10845725E-061
  -0.28906250E+001   0.31575726E-123   0.53693575E-062  -0.16938927E-061
  -0.28867188E+001   0.80275431E-123   0.10643026E-061  -0.26257957E-061
  -0.28828125E+001   0.20377423E-122   0.20170324E-061  -0.40384407E-061
  -0.28789062E+001   0.51647964E-122   0.37031673E-061  -0.61591003E-061
  -0.28750000E+001   0.13070568E-121   0.66377891E-061  -0.93083531E-061
  -0.28710938E+001   0.33027298E-121   0.11674090E-060  -0.13927979E-060
  -0.28671875E+001   0.83327614E-121   0.20213091E-060  -0.20608422E-060
  -0.28632812E+001   0.20991437E-120   0.34536806E-060  -0.30105692E-060
  -0.28593750E+001   0.52799851E-120   0.58333725E-060  -0.43326224E-060
  -0.28554688E+001   0.13260520E-119   0.97521811E-060  -0.61237378E-060
  -0.28515625E+001   0.33252609E-119   0.16152819E-059  -0.84624194E-060
  -0.28476562E+001   0.83258432E-119   0.26526441E-059  -0.11354833E-059
  -0.28437500E+001   0.20814599E-118   0.43215241E-059  -0.14625417E-059
  -0.28398438E+001   0.51957132E-118   0.69872321E-059  -0.17707962E-059
  -0.28359375E+001   0.12949698E-117   0.11215475E-058  -0.19261623E-059
  -0.28320312E+001   0.32226371E-117   0.17875857E-058  -0.16484636E-059
  -0.28281250E+001   0.80075653E-117   0.28294935E-058  -0.39140716E-060
  -0.28242188E+001   0.19866753E-116   0.44480047E-058   0.28636920E-059
  -0.28203125E+001   0.49214222E-116   0.69442602E-058   0.99572719E-059
  -0.28164062E+001   0.12172833E-115   0.10765823E-057   0.24135834E-058
  -0.28125000E+001   0.30062842E-115   0.16571047E-057   0.51018464E-058
  -0.28085938E+001   0.74132002E-115   0.25317191E-057   0.10017977E-057
  -0.28046875E+001   0.18252348E-114   0.38377740E-057   0.18771890E-057
  -0.28007812E+001   0.44871342E-114   0.57692752E-057   0.34039397E-057
  -0.27968750E+001   0.11014295E-113   0.85950982E-057   0.60222285E-057
  -0.27929688E+001   0.26994897E-113   0.12679061E-056   0.10449420E-056
  -0.27890625E+001   0.66060818E-113   0.18498095E-056   0.17844569E-056
  -0.27851562E+001   0.16141487E-112   0.26650065E-056   0.30065308E-056
  -0.27812500E+001   0.39380432E-112   0.37834159E-056   0.50066152E-056
  -0.27773438E+001   0.95930059E-112   0.52771471E-056   0.82511682E-056
  -0.27734375E+001   0.23332769E-111   0.72006804E-056   0.13471373E-055
  -0.27695312E+001   0.56665034E-111   0.95487417E-056   0.21805317E-055
  -0.27656250E+001   0.13740462E-110   0.12173854E-055   0.35012048E-055
  -0.27617188E+001   0.33267860E-110   0.14632988E-055   0.55791233E-055
  -0.27578125E+001   0.80424006E-110   0.15912189E-055   0.88256461E-055
  -0.27539062E+001   0.19412607E-109   0.13944855E-055   0.13862953E-054
  -0.27500000E+001   0.46786368E-109   0.47860521E-056   0.21624861E-054
  -0.27460938E+001   0.11258801E-108  -0.18779303E-055   0.33501544E-054
  -0.27421875E+001   0.27052178E-108  -0.69549896E-055   0.51544602E-054
  -0.27382812E+001   0.64900744E-108  -0.16970694E-054   0.78753222E-054
  -0.27343750E+001   0.15546564E-107  -0.35698576E-054   0.11946621E-053
  -0.27304688E+001   0.37184033E-107  -0.69460497E-054   0.17988683E-053
  -0.27265625E+001   0.88800597E-107  -0.12870994E-053   0.26876448E-053
  -0.27226562E+001   0.21174472E-106  -0.23053584E-053   0.39824358E-053
  -0.27187500E+001   0.50413474E-106  -0.40259100E-053   0.58485487E-053
  -0.27148438E+001   0.11984446E-105  -0.68920957E-053   0.85054970E-053
  -0.27109375E+001   0.28446356E-105  -0.11608637E-052   0.12235322E-052
  -0.27070312E+001   0.67417497E-105  -0.19286775E-052   0.17383765E-052
  -0.27031250E+001   0.15953498E-104  -0.31665445E-052   0.24344392E-052
  -0.26992188E+001   0.37694376E-104  -0.51445910E-052   0.33507551E-052
  -0.26953125E+001   0.88927176E-104  -0.82794370E-052   0.45142108E-052
  -0.26914062E+001   0.20947382E-103  -0.13209125E-051   0.59154743E-052
  -0.26875000E+001   0.49267706E-103  -0.20903954E-051   0.74633631E-052
  -0.26835938E+001   0.11569970E-102  -0.32829075E-051   0.89021852E-052
  -0.26796875E+001   0.27129355E-102  -0.51180949E-051   0.96667470E-052
  -0.26757812E+001   0.63516127E-102  -0.79227928E-051   0.86341217E-052
  -0.26718750E+001   0.14847928E-101  -0.12179568E-050   0.37067639E-052
  -0.26679688E+001   0.34656527E-101  -0.18595089E-050  -0.88766114E-052
  -0.26640625E+001   0.80768412E-101  -0.28195110E-050  -0.35664943E-051
  -0.26601562E+001   0.18794698E-100  -0.42454329E-050  -0.87806496E-051
  -0.26562500E+001   0.43668321E-100  -0.63470443E-050  -0.18393885E-050
  -0.26523438E+001   0.10130595E-099  -0.94191720E-050  -0.35475553E-050
